Customer_Name,Product_Level_1,Product_Level_2,Application,Plant,Predicted_Margin_Per_Unit
Wind Energy Components,Chemicals,Urea,Aerospace,Central Asia Plant,452.33
Chemical Industries Ltd,Metals,Scrap Metal,Agriculture,South America Facility,273.65
Precious Metals Exchange,Plastics,Polystyrene,Mining,Western Europe Plant,237.54
Cosmetic Ingredients,Minerals,Gypsum,Packaging,Southeast Asia Hub,166.28
Nickel Alloys Corp,Plastics,Polycarbonate,Mining,Africa Operations,236.92
Battery Materials Corp,Electronics,Gallium,Agriculture,Central America Hub,482.76
Nickel Alloys Corp,Minerals,Kaolin,Food & Beverage,North America Plant,165.87
Textile Raw Materials,Plastics,PVC,Infrastructure,South America Facility,237.91
Energy Dynamics,Metals,Titanium,Aerospace,Oceania Facility,274.19
Copper Traders International,Metals,Nickel,Renewable Energy,North America Plant,273.83
Copper Traders International,Energy,Diesel,Oil & Gas,North Asia Operations,58.44
Construction Materials Co,Agriculture,Coffee,Renewable Energy,South Asia Plant,109.61
Rare Earth Elements Co,Chemicals,Ethylene,Healthcare,Southeast Asia Hub,444.49
Rare Earth Elements Co,Agriculture,Corn,Cosmetics,Asia Pacific Hub,111.58
Automotive Materials,Agriculture,Palm Oil,Packaging,South America Facility,111.8
Aerospace Alloys Corp,Energy,LNG,Mining,Eastern Europe Facility,58.16
Glass Manufacturing Co,Chemicals,Ammonia,Mining,Oceania Facility,447.08
Coal Mining Corp,Metals,Steel,Cosmetics,Eastern Europe Facility,271.38
Mining Operations LLC,Minerals,Gypsum,Renewable Energy,Europe Manufacturing,166.47
Wind Energy Components,Plastics,Polycarbonate,Automotive,South Asia Plant,233.71
Nickel Alloys Corp,Electronics,Graphite,Telecommunications,Central Asia Plant,484.28
Industrial Supply Ltd,Energy,Crude Oil,Renewable Energy,Asia Pacific Hub,57.14
Ceramic Materials Ltd,Agriculture,Corn,Healthcare,Caribbean Plant,109.35
Aerospace Alloys Corp,Energy,Petroleum Products,Telecommunications,Western Europe Plant,58.05
Wood Products International,Textiles,Linen,Energy,Africa Operations,28.63
Chemical Industries Ltd,Plastics,Polycarbonate,Oil & Gas,North America Plant,241.47
Global Commodities Inc,Minerals,Gypsum,Automotive,Central Asia Plant,164.49
Cosmetic Ingredients,Energy,LNG,Electronics,South America Facility,55.94
Agricultural Commodities,Agriculture,Cocoa,Renewable Energy,Central America Hub,110.02
Paper and Pulp Industries,Textiles,Rayon,Energy,Central Asia Plant,29.17
Cosmetic Ingredients,Energy,Gasoline,Renewable Energy,Africa Operations,56.73
Aluminum Corp,Energy,Gasoline,Telecommunications,Central America Hub,57.57
Industrial Supply Ltd,Chemicals,Sulfuric Acid,Food & Beverage,Africa Operations,449.14
Wood Products International,Energy,Natural Gas,Automotive,Southeast Asia Hub,55.23
Copper Traders International,Agriculture,Palm Oil,Chemicals,Caribbean Plant,109.41
Paper and Pulp Industries,Energy,LNG,Telecommunications,North Asia Operations,57.22
Titanium Specialists,Chemicals,Methanol,Cosmetics,Western Europe Plant,456.51
Ceramic Materials Ltd,Agriculture,Wheat,Agriculture,Eastern Europe Facility,113.79
Glass Manufacturing Co,Minerals,Talc,Aerospace,Europe Manufacturing,167.49
Global Commodities Inc,Textiles,Polyester,Telecommunications,Southeast Asia Hub,27.18
Cosmetic Ingredients,Energy,Crude Oil,Textiles,Europe Manufacturing,57.26
Petroleum Products Ltd,Textiles,Silk,Automotive,Southeast Asia Hub,27.87
Coal Mining Corp,Plastics,PVC,Energy,Europe Manufacturing,241.52
Wind Energy Components,Minerals,Barite,Electronics,Asia Pacific Hub,169.15
Rare Earth Elements Co,Chemicals,Ammonia,Telecommunications,Central Asia Plant,434.38
Metro Trading Co,Textiles,Polyester,Aerospace,Caribbean Plant,25.28
Chemical Industries Ltd,Agriculture,Sugar,Manufacturing,Europe Manufacturing,112.02
Aluminum Corp,Plastics,PET,Chemicals,North America Plant,236.58
Battery Materials Corp,Plastics,Polystyrene,Renewable Energy,Southeast Asia Hub,233.54
Solar Panel Materials,Metals,Titanium,Energy,South America Facility,272.42
Titanium Specialists,Energy,Gasoline,Chemicals,Africa Operations,54.53
Petroleum Products Ltd,Plastics,Nylon,Renewable Energy,Central America Hub,239.5
Aluminum Corp,Agriculture,Rice,Chemicals,Central Asia Plant,109.84
Battery Materials Corp,Metals,Tin,Food & Beverage,Oceania Facility,270.05
Ceramic Materials Ltd,Chemicals,Urea,Food & Beverage,South Asia Plant,452.51
Agricultural Commodities,Electronics,Germanium,Mining,North America Plant,484.13
Rubber and Tire Materials,Energy,LNG,Renewable Energy,Eastern Europe Facility,57.99
Energy Dynamics,Agriculture,Corn,Energy,North America Plant,112.19
Medical Grade Metals,Chemicals,PVC,Cosmetics,Eastern Europe Facility,458.77
Textile Raw Materials,Energy,Natural Gas,Aerospace,Central America Hub,58.5
Aluminum Corp,Plastics,Polycarbonate,Automotive,Africa Operations,236.02
Nickel Alloys Corp,Agriculture,Cotton,Pharmaceuticals,North Asia Operations,112.22
Titanium Specialists,Textiles,Nylon,Chemicals,Southeast Asia Hub,26.48
Aluminum Corp,Minerals,Kaolin,Food & Beverage,North America Plant,166.37
Global Commodities Inc,Agriculture,Coffee,Chemicals,Western Europe Plant,109.93
Battery Materials Corp,Metals,Steel,Cosmetics,Southeast Asia Hub,270.14
Global Commodities Inc,Plastics,PVC,Healthcare,Middle East Plant,241.62
Textile Raw Materials,Plastics,Nylon,Energy,South America Facility,240.6
Copper Traders International,Minerals,Limestone,Textiles,Central Asia Plant,165.12
Petroleum Products Ltd,Textiles,Acrylic,Mining,Southeast Asia Hub,28.09
Battery Materials Corp,Agriculture,Soybeans,Energy,Middle East Plant,110.89
Plastic Polymers Co,Minerals,Limestone,Energy,Oceania Facility,165.96
Precious Metals Exchange,Minerals,Talc,Infrastructure,Africa Operations,164.73
Natural Gas Traders,Chemicals,Methanol,Telecommunications,Eastern Europe Facility,460.18
Copper Traders International,Minerals,Silica,Textiles,North Asia Operations,166.5
Global Commodities Inc,Agriculture,Palm Oil,Packaging,Caribbean Plant,110.27
Automotive Materials,Chemicals,PVC,Energy,Central Asia Plant,438.16
Rubber and Tire Materials,Minerals,Kaolin,Textiles,Central America Hub,166.95
Iron Ore Suppliers,Agriculture,Wheat,Construction,Central Asia Plant,107.81
Coal Mining Corp,Chemicals,Caustic Soda,Food & Beverage,South America Facility,449.1
Rare Earth Elements Co,Agriculture,Rice,Packaging,South America Facility,111.09
Titanium Specialists,Energy,Biofuels,Defense,Central America Hub,56.39
Wind Energy Components,Textiles,Polyester,Defense,Europe Manufacturing,30.06
Pharmaceutical Raw Materials,Chemicals,Propylene,Renewable Energy,Central America Hub,438.43
Global Commodities Inc,Plastics,Polycarbonate,Manufacturing,Africa Operations,235.27
Natural Gas Traders,Agriculture,Soybeans,Healthcare,Asia Pacific Hub,114.3
AgriTech Solutions,Minerals,Barite,Telecommunications,South Asia Plant,166.22
Agricultural Commodities,Electronics,Indium,Mining,South America Facility,481.37
Rare Earth Elements Co,Chemicals,Ethylene,Food & Beverage,Southeast Asia Hub,445.01
Precious Metals Exchange,Textiles,Rayon,Mining,Caribbean Plant,27.39
Plastic Polymers Co,Agriculture,Sugar,Packaging,Eastern Europe Facility,113.56
Chemical Industries Ltd,Plastics,PET,Food & Beverage,North America Plant,239.37
Copper Traders International,Textiles,Silk,Chemicals,Asia Pacific Hub,28.63
AgriTech Solutions,Textiles,Rayon,Renewable Energy,Middle East Plant,29.25
Wood Products International,Energy,Gasoline,Food & Beverage,Middle East Plant,58.24
Wood Products International,Energy,Coal,Cosmetics,North America Plant,57.11
Aerospace Alloys Corp,Plastics,Polycarbonate,Mining,Oceania Facility,238.75
Zinc and Lead Traders,Textiles,Nylon,Electronics,South America Facility,29.27
Paper and Pulp Industries,Textiles,Wool,Healthcare,Central America Hub,30.33
Precious Metals Exchange,Agriculture,Corn,Infrastructure,Southeast Asia Hub,109.75
Ceramic Materials Ltd,Chemicals,Caustic Soda,Automotive,Central America Hub,443.42
AgriTech Solutions,Energy,Crude Oil,Packaging,South America Facility,56.56
Battery Materials Corp,Metals,Titanium,Manufacturing,Southeast Asia Hub,270.04
Natural Gas Traders,Energy,Petroleum Products,Cosmetics,Middle East Plant,58.49
Agricultural Commodities,Energy,LNG,Renewable Energy,Caribbean Plant,53.18
Coal Mining Corp,Metals,Scrap Metal,Chemicals,Europe Manufacturing,276.05
Precious Metals Exchange,Plastics,ABS,Healthcare,Southeast Asia Hub,234.55
Titanium Specialists,Minerals,Barite,Textiles,North Asia Operations,162.03
Beverage Industry Supply,Metals,Zinc,Infrastructure,North America Plant,264.3
Chemical Industries Ltd,Minerals,Fluorite,Food & Beverage,Southeast Asia Hub,164.47
Glass Manufacturing Co,Plastics,Nylon,Food & Beverage,Eastern Europe Facility,240.68
Glass Manufacturing Co,Energy,Gasoline,Textiles,South Asia Plant,54.67
Beverage Industry Supply,Chemicals,Ethylene,Automotive,South America Facility,437.39
Cosmetic Ingredients,Energy,Diesel,Healthcare,Western Europe Plant,56.55
Iron Ore Suppliers,Textiles,Acrylic,Infrastructure,South Asia Plant,30.43
Aerospace Alloys Corp,Minerals,Gypsum,Mining,Africa Operations,166.17
Automotive Materials,Agriculture,Cocoa,Automotive,Oceania Facility,109.38
Global Commodities Inc,Chemicals,Ethylene,Construction,Eastern Europe Facility,462.86
Copper Traders International,Textiles,Acrylic,Oil & Gas,Central America Hub,26.51
Precious Metals Exchange,Textiles,Polyester,Food & Beverage,North America Plant,28.7
Industrial Supply Ltd,Chemicals,Sulfuric Acid,Chemicals,Africa Operations,445.49
Beverage Industry Supply,Metals,Iron Ore,Energy,Oceania Facility,276.72
Solar Panel Materials,Energy,LNG,Oil & Gas,Eastern Europe Facility,59.34
Aerospace Alloys Corp,Agriculture,Rubber,Defense,Western Europe Plant,111.11
Rubber and Tire Materials,Minerals,Barite,Agriculture,Oceania Facility,163.31
Rare Earth Elements Co,Plastics,Polypropylene,Defense,South Asia Plant,236.56
Plastic Polymers Co,Metals,Lead,Packaging,South Asia Plant,281.53
Precious Metals Exchange,Minerals,Talc,Packaging,Middle East Plant,167.37
Rare Earth Elements Co,Minerals,Fluorite,Energy,Oceania Facility,164.48
Food Processing Materials,Plastics,Polycarbonate,Automotive,North Asia Operations,237.8
Food Processing Materials,Agriculture,Cocoa,Automotive,Southeast Asia Hub,108.53
Copper Traders International,Textiles,Linen,Electronics,Asia Pacific Hub,29.58
Textile Raw Materials,Textiles,Silk,Electronics,Africa Operations,30.03
Food Processing Materials,Plastics,Polyethylene,Pharmaceuticals,Central Asia Plant,239.92
AgriTech Solutions,Metals,Zinc,Food & Beverage,Eastern Europe Facility,275.16
